time,x,y,z
0,0.000754,0.00022000000000000003,0.000154
0.01,0.002262,0.0006600000000000001,0.000462
0.02,0.004524,0.0013200000000000004,0.0009240000000000001
0.03,0.007540000000000001,0.002200000000000001,0.0015400000000000004
0.04,0.01131,0.0033000000000000017,0.002310000000000001
0.05,0.015834,0.004620000000000003,0.003234000000000001
0.06,0.021112000000000002,0.006160000000000003,0.004312000000000002
0.07,0.027144000000000005,0.007920000000000003,0.005544000000000002
0.08,0.03393000000000001,0.009900000000000004,0.006930000000000002
0.09,0.041470000000000014,0.012100000000000005,0.008470000000000002
0.1,0.04976400000000002,0.014520000000000005,0.010164000000000001
0.11,0.05881200000000002,0.017160000000000005,0.012012
0.12,0.06861400000000002,0.020020000000000007,0.014013999999999999
0.13,0.07917000000000003,0.02310000000000001,0.016169999999999997
0.14,0.09048000000000005,0.026400000000000014,0.018479999999999996
0.15,0.10254400000000007,0.02992000000000002,0.020943999999999997
0.16,0.11536200000000009,0.03366000000000002,0.023562
0.17,0.12893400000000013,0.03762000000000003,0.026334000000000003
0.18,0.1432600000000002,0.04180000000000003,0.029260000000000008
0.19,0.15834000000000026,0.04620000000000003,0.032340000000000015
0.2,0.17417400000000033,0.05082000000000003,0.03557400000000002
0.21,0.1907620000000004,0.05566000000000003,0.03896200000000003
0.22,0.20810400000000048,0.060720000000000024,0.04250400000000004
0.23,0.22620000000000057,0.06600000000000002,0.046200000000000054
0.24,0.24505000000000066,0.07150000000000001,0.05005000000000007
0.25,0.2646540000000007,0.07722,0.05405400000000008
0.26,0.28501200000000076,0.08315999999999998,0.0582120000000001
0.27,0.3061240000000008,0.08931999999999997,0.06252400000000011
0.28,0.3279900000000008,0.09569999999999995,0.06699000000000012
0.29,0.35061000000000075,0.10229999999999993,0.07161000000000013
0.3,0.3739840000000007,0.10911999999999991,0.07638400000000015
0.31,0.39811200000000063,0.11615999999999989,0.08131200000000016
0.32,0.42299400000000054,0.12341999999999986,0.08639400000000018
0.33,0.4486300000000004,0.13089999999999985,0.0916300000000002
0.34,0.4750200000000003,0.13859999999999983,0.09702000000000022
0.35000000000000003,0.5021640000000002,0.14651999999999982,0.10256400000000024
0.36,0.5300620000000001,0.1546599999999998,0.10826200000000026
0.37,0.5587140000000002,0.16301999999999978,0.11411400000000028
0.38,0.5881200000000002,0.17159999999999975,0.12012000000000031
0.39,0.6182800000000003,0.18039999999999973,0.12628000000000034
0.4,0.6491940000000004,0.1894199999999997,0.13259400000000035
0.41000000000000003,0.6808620000000005,0.19865999999999967,0.13906200000000035
0.42,0.7132840000000007,0.20811999999999964,0.14568400000000034
0.43,0.7464600000000009,0.2177999999999996,0.15246000000000032
0.44,0.7803900000000011,0.22769999999999957,0.15939000000000028
0.45,0.8150740000000014,0.23781999999999953,0.16647400000000023
0.46,0.8505120000000017,0.2481599999999995,0.17371200000000017
0.47000000000000003,0.886704000000002,0.25871999999999945,0.1811040000000001
0.48,0.9236500000000024,0.2694999999999994,0.18865
0.49,0.9613500000000028,0.28049999999999936,0.1963499999999999
0.5,0.9998040000000032,0.2917199999999993,0.2042039999999998
0.51,1.0390120000000036,0.30315999999999926,0.21221199999999968
0.52,1.0789740000000039,0.3148199999999992,0.22037399999999954
0.53,1.119690000000004,0.32669999999999916,0.2286899999999994
0.54,1.1611600000000042,0.3387999999999991,0.23715999999999923
0.55,1.2033840000000042,0.35111999999999904,0.24578399999999906
0.56,1.2463620000000042,0.363659999999999,0.25456199999999884
0.5700000000000001,1.290094000000004,0.3764199999999989,0.2634939999999986
0.58,1.3345800000000039,0.38939999999999886,0.2725799999999984
0.59,1.3798200000000036,0.4025999999999988,0.2818199999999981
0.6,1.4258140000000032,0.4160199999999987,0.29121399999999786
