time,x,y
0,0.000754,0.00022000000000000003
0.01,0.002262,0.0006600000000000001
0.02,0.004524,0.0013200000000000004
0.03,0.007540000000000001,0.002200000000000001
0.04,0.01131,0.0033000000000000017
0.05,0.015834,0.004620000000000003
0.06,0.021112000000000002,0.006160000000000003
0.07,0.027144000000000005,0.007920000000000003
0.08,0.03393000000000001,0.009900000000000004
0.09,0.041470000000000014,0.012100000000000005
0.1,0.04976400000000002,0.014520000000000005
0.11,0.05881200000000002,0.017160000000000005
0.12,0.06861400000000002,0.020020000000000007
0.13,0.07917000000000003,0.02310000000000001
0.14,0.09048000000000005,0.026400000000000014
0.15,0.10254400000000007,0.02992000000000002
0.16,0.11536200000000009,0.03366000000000002
0.17,0.12893400000000013,0.03762000000000003
0.18,0.1432600000000002,0.04180000000000003
0.19,0.15834000000000026,0.04620000000000003
0.2,0.17417400000000033,0.05082000000000003
0.21,0.1907620000000004,0.05566000000000003
0.22,0.20810400000000048,0.060720000000000024
0.23,0.22620000000000057,0.06600000000000002
0.24,0.24505000000000066,0.07150000000000001
0.25,0.2646540000000007,0.07722
0.26,0.28501200000000076,0.08315999999999998
0.27,0.3061240000000008,0.08931999999999997
0.28,0.3279900000000008,0.09569999999999995
0.29,0.35061000000000075,0.10229999999999993
0.3,0.3739840000000007,0.10911999999999991
0.31,0.39811200000000063,0.11615999999999989
0.32,0.42299400000000054,0.12341999999999986
0.33,0.4486300000000004,0.13089999999999985
0.34,0.4750200000000003,0.13859999999999983
0.35000000000000003,0.5021640000000002,0.14651999999999982
0.36,0.5300620000000001,0.1546599999999998
0.37,0.5587140000000002,0.16301999999999978
0.38,0.5881200000000002,0.17159999999999975
0.39,0.6182800000000003,0.18039999999999973
0.4,0.6491940000000004,0.1894199999999997
0.41000000000000003,0.6808620000000005,0.19865999999999967
0.42,0.7132840000000007,0.20811999999999964
0.43,0.7464600000000009,0.2177999999999996
0.44,0.7803900000000011,0.22769999999999957
0.45,0.8150740000000014,0.23781999999999953
0.46,0.8505120000000017,0.2481599999999995
0.47000000000000003,0.886704000000002,0.25871999999999945
0.48,0.9236500000000024,0.2694999999999994
0.49,0.9613500000000028,0.28049999999999936
0.5,0.9998040000000032,0.2917199999999993
0.51,1.0390120000000036,0.30315999999999926
0.52,1.0789740000000039,0.3148199999999992
0.53,1.119690000000004,0.32669999999999916
0.54,1.1611600000000042,0.3387999999999991
0.55,1.2033840000000042,0.35111999999999904
0.56,1.2463620000000042,0.363659999999999
0.5700000000000001,1.290094000000004,0.3764199999999989
0.58,1.3345800000000039,0.38939999999999886
0.59,1.3798200000000036,0.4025999999999988
0.6,1.4258140000000032,0.4160199999999987
0.61,1.4725620000000028,0.42965999999999865
0.62,1.5200640000000023,0.4435199999999986
0.63,1.5683200000000017,0.4575999999999985
0.64,1.617330000000001,0.47189999999999843
0.65,1.6670940000000003,0.48641999999999835
0.66,1.7176119999999995,0.5011599999999983
0.67,1.7688839999999986,0.5161199999999982
0.68,1.8209099999999976,0.5312999999999982
0.6900000000000001,1.8736899999999965,0.5466999999999982
0.7000000000000001,1.9272239999999954,0.5623199999999982
0.71,1.9815119999999942,0.5781599999999981
0.72,2.036553999999993,0.5942199999999981
0.73,2.092349999999992,0.610499999999998
0.74,2.1488999999999914,0.626999999999998
0.75,2.2062039999999907,0.643719999999998
0.76,2.2642619999999902,0.6606599999999979
0.77,2.32307399999999,0.6778199999999979
0.78,2.3826399999999897,0.6951999999999978
0.79,2.4429599999999896,0.7127999999999978
0.8,2.5040339999999897,0.7306199999999977
0.81,2.56586199999999,0.7486599999999977
0.8200000000000001,2.6284439999999902,0.7669199999999976
0.8300000000000001,2.6917799999999907,0.7853999999999975
0.84,2.7558699999999914,0.8040999999999975
0.85,2.820713999999992,0.8230199999999974
0.86,2.886311999999993,0.8421599999999974
0.87,2.952663999999994,0.8615199999999973
0.88,3.0197699999999954,0.8810999999999972
0.89,3.0876299999999968,0.9008999999999971
0.9,3.1562439999999983,0.9209199999999971
0.91,3.225612,0.941159999999997
0.92,3.2957340000000017,0.9616199999999969
0.93,3.3666100000000037,0.9822999999999968
0.9400000000000001,3.4382400000000057,1.003199999999997
0.9500000000000001,3.510624000000008,1.0243199999999972
0.96,3.5837620000000103,1.0456599999999976
0.97,3.657654000000013,1.067219999999998
0.98,3.7323000000000155,1.0889999999999986
0.99,3.8077000000000183,1.1109999999999993
1,3.8838540000000212,1.1332200000000001
1.01,3.9607620000000243,1.155660000000001
1.02,4.038424000000027,1.178320000000002
1.03,4.116840000000029,1.2012000000000032
1.04,4.196010000000031,1.2243000000000044
1.05,4.275934000000033,1.2476200000000057
1.06,4.356612000000035,1.2711600000000072
1.07,4.438044000000036,1.2949200000000087
1.08,4.520230000000037,1.3189000000000104
1.09,4.603170000000038,1.3431000000000122
1.1,4.686864000000038,1.367520000000014
1.11,4.771312000000038,1.392160000000016
1.12,4.856514000000038,1.4170200000000182
1.1300000000000001,4.9424700000000374,1.4421000000000204
1.1400000000000001,5.029180000000037,1.4674000000000227
1.1500000000000001,5.1166440000000355,1.4929200000000251
1.16,5.204862000000034,1.5186600000000277
1.17,5.293834000000032,1.5446200000000303
1.18,5.38356000000003,1.570800000000033
1.19,5.474040000000028,1.597200000000036
1.2,5.565274000000025,1.623820000000039
1.21,5.657262000000022,1.650660000000042
1.22,5.750004000000019,1.6777200000000452
1.23,5.843500000000016,1.7050000000000485
1.24,5.937750000000012,1.7325000000000519
1.25,6.032754000000008,1.7602200000000554
1.26,6.128512000000003,1.788160000000059
